"Products","Name","License","Can reside in","Can reside in","Can reside in","Can reside in","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot"
"P13","GAG","GPLv2+","?","No","Yes (SafeBoot)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Calls GRUB or LILO","Calls bootloader","Calls bootloader","Calls bootloader","No"
"P14","GRUB Legacy","GPLv2+","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Yes","Calls FreeLoader","Yes","Yes","Yes"
"P15","GNU GRUB","GPLv3","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Yes","Calls FreeLoader","Yes","Yes","Yes"
"P16","GRUB4DOS","GPLv2+","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Yes","?","?","?","?"
"P17","Gujin","GPLv2","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Calls NTLDR","Yes","Yes","?","?","?","?"
"P18","Gummiboot","LGPL 2.1","Yes","No","No","?","Yes","Yes","Yes","?","?","?","?","?","No","No","Windows Server 2013 64bits with UEFI only","Calls Windows Boot Manager","Yes","?","?","UEFI only","Yes"
"P19","LILO","BSD license","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Calls NTLDR","Yes","Yes","?","?","Calls biosboot (FreeBSD, PC-BSD, ...)","?"
"P20","loadlin","GPLv2+","?","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","?","?"
"P21","MasterBooter","Proprietary","?","?","Yes","?","Yes","Yes","Yes","?","Yes","?","?","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"P22","NTLDR","Proprietary","?","Yes","No","Yes","Yes","?","No","No","Yes","Yes","?","?","Yes","Yes","Yes","No","Calls GRUB4DOS","?","?","?","Calls Darwin bootloader"
"P23","OSL2000 Boot Manager","Proprietary","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Calls GRUB or LILO","?","?","?","?"
"P24","PLoP Bootmanager","Proprietary","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls GRUB or LILO","?","?","?","?"
"P25","RedBoot","mod GPLv2+","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Yes","Calls FreeLoader","Yes","Yes","Yes"
"P26","rEFInd","GPLv3/BSD license","Yes","?","?","?","Yes","?","?","Yes","?","Yes","?","No","?","?","Yes","Yes","Yes","?","?","Yes","Yes"
"P27","Smart Boot Manager","GPLv2+","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","?","Yes","?","?","Yes","?"
"P28","SPFdisk","GPLv2+","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"P29","SYSLINUX","GPLv2+","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Calls NTLDR","Calls Windows Boot Manager","Yes","?","Yes","via mboot.c32 module","?"
"P30","XOSL","GPLv2","?","No","No","Yes","Yes","Yes","Yes","Yes","?","No","?","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"P31","Windows Boot Manager","Proprietary","Yes","Yes","No","No","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Calls NTLDR","Yes","Calls GRUB or LILO","?","?","?","?"
"P32","FreeLoader (ReactOS Boot Loader)","GPLv2+","?","Yes","No","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Partial","Calls Windows Boot Manager","Yes","Yes","?","?","?"
"P33","Name","Software license","Can reside in","Can reside in","Can reside in","Can reside in","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot from","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot","Can boot"
"P34","Name","Software license","ESP (UEFI)","MBR / VBR","MBR only","Floppy","Hard disk","Second hard disk","Logical partitions","CD-ROM","Floppy","USB","Zip","LAN","MS-DOS","Windows 9x/Me","Windows NT series","Windows Vista/7/8","Linux","ReactOS","MenuetOS","*BSD","Mac OS X"
