"Products","Format","Full name","Owner","Based Format","File extension","MIME type","Application","Patented"
"P27","BPG","Better Portable Graphics","Fabrice Bellard","HEVC",".bpg","","Suggestion to replace JPEG, JavaScript decoder available","Yes"
"P28","BRK","Brooktrout Fax","","",".brk","","",""
"P29","BSAVE","BSAVE Image","","",".BSV","","Used by IBM PC.",""
"P30","CAM","Casio CAM","Casio","JPEG",".cam","","",""
"P31","CADRG","Compressed ARC Digitized Raster Graphics","","",".cadrg","","",""
"P32","CAL","CALS raster file format","","",".cal, .cals, .ras, .dcl","","",""
"P33","Capture One RAW","","Phase One","",".cap","","",""
"P34","CIFF","Camera Image File Format","Canon","",".crw, .ciff","","",""
"P35","CR2","Canon RAW 2","Canon","TIFF",".cr2","","",""
"P36","CDR","CorelDRAW Document","Corel Corporation","",".cdr, .ccx, .cdt, .cmx","application/coreldraw","CorelDRAW files are editable using programs that support the format, such as CorelDRAW, Adobe Illustrator, Inkscape, etc.","Yes"
"P37","CGM","Computer Graphics Metafile","","",".cgm","image/cgm","CGM files are editable using programs that support the format, such as IBM Lotus Freelance Graphics, Inkscape, etc.",""
"P38","CIN","Cineon","","",".cin","image/cineon","",""
"P39","Corel Paint Shop Pro Pattern","","","",".pat","","Supported by Corel Paint Shop Pro",""
"P40","CPC","Cartesian Perceptual Compression","Cartesian Products, Inc.","",".cpc, .cpi","image/cpi","Highly compressed raster imaging format.","Yes"
"P41","CPKT","APP5-CPKT Format","","JPEG",".jpg, .jpe, .jpeg","image/jpeg","Used by PROSERPINE.",""
"P42","CPT","Corel Photo-Paint Image","","",".cpt","","Variant of TIFF up to and including version 6.0; proprietary as of 7.0 (1997)",""
"P43","Crack Art","","Detlef Röttger & Jan Borchers","",".ca1, .ca2, .ca3","","An application on Atari ST",""
"P44","CUT","","","",".cut","","Used by DSHELL.",""
"P45","CMYK","","","",".cmyk","","",""
"P46","CMYKA","","","",".cmyka","","",""
"P47","DCS","Kodak DCS Pro RAW","Kodak","",".dcs","","",""
"P48","DCR","Digital Camera Raw","Kodak","TIFF",".dcr","","",""
"P49","DDS","DirectDraw Surface","Microsoft","",".dds","","",""
"P50","Degas","Design & Entertainment Graphic Arts System","Integral Solutions","",".pi1, .pi2, .pi3,
.pc1, .pc2, .pc3","","An application on Atari ST",""
"P51","DNG","Digital Negative","Adobe Systems","Compatible with ISO 12234-2, TIFF/EP",".dng","","A raw image format suitable as an archival format and as the native raw format of digital cameras","No: no known intellectual property encumbrances or license requirements"
"P52","DIA","Dia Drawing","","XML",".dia","","Used by Dia",""
"P53","DICOM","Digital Imaging and Communications in Medicine","National Electrical Manufacturers Association","",".dcm, .dicom","application/dicom","Numerous biomedical imaging applications (e.g. OsiriX, XMedCon), some general bitmap graphics applications (e.g. GIMP, Photoshop)",""
"P54","DjVu","DjVu","AT&T Research","",".djvu, .djv","image/vnd.djvu","",""
"P55","Doodle","","","",".doo","","An application on Atari ST",""
"P56","DPX","Digital Picture eXchange file format","","",".dpx","image/dpx","",""
"P57","DRF","Kodak Pro Back RAW","Kodak","",".drf","","",""
"P58","Dr. Halo","","","",".cut","","",""
"P59","Encapsulated PostScript","","","",".epi, .eps, .eps2,
.eps3, .epsf, .epsi,
.ept","application/postscript","",""
"P60","ECW","Enhanced Compressed Wavelet","ERDAS","",".ecw","","Wavelet image format used primarily with geo-referenced aerial and satellite imagery","No"
"P61","EDG","EDGE2 Original Format","TAKABO","",".edg","","Used by EDGE2",""
"P62","EMF","Enhanced Metafile Format","Microsoft","",".emf, .emz","","Microsoft Office",""
"P63","EMF+","Enhanced Metafile Format Plus Extensions","Microsoft","",".emf, .emz","","",""
"P64","ERF","EPSON RAW","EPSON","TIFF",".erf","","",""
"P65","ERI","Entis Rasterized Image format","","",".eri","","",""
"P66","Exif","Exchangeable Image File Format","","",".exif","","",""
"P67","EVA","Extended Vector Animation","Sharp Corporation","",".eva","application/x-eva","",""
"P68","EXR","OpenEXR","ILM","",".exr","image/exr","Used in film effects for 3d rendering and hdr images.","?"
"P69","FIF","Fractal Image Format","","",".fif","","",""
"P70","FIG","FIG format","","",".fig","application/x-xfig","Supported by Xfig",""
"P71","FITS","Flexible Image Transport System","","",".fit, .fits","","Scientific (esp. astronomical) data acquisition",""
"P72","FLA","Flash Source File","","",".fla","","",""
"P73","FLIC","","Autodesk","",".fli, .flc, .flx, .flh, .flt","","Supported by GIMP",""
"P74","FLW","Kivio Document","","",".flw","","Supported by Kivio",""
"P75","FPX","FlashPix (1.0.2)","","",".fpx","image/vnd.fpx","",""
"P76","FreeHand","","Adobe Systems","",".fh4, .fh5, .fh7,
.fh8, .fhc, .fh","image/x-freehand","",""
"P77","FutureSplash","","Adobe Systems","",".spl","application/futuresplash","",""
"P78","FXT","","3DFX","",".fxt","","",""
"P79","GEGL composition","","","XML",".xml","application/xml","Used by GEGL",""
"P80","Gerber Format","RS-274X Extended Gerber Format","Ucamco","Printable ASCII",".gbr","","Printed Circuit Board or PCB software",""
"P81","GIF","Graphics Interchange Format","CompuServe,
Unisys (compression algorithm)","",".gif, .gfa, .giff","image/gif","Supported by most web browsers. Supports transparency and animation.","Expired"
"P82","GIMP brush","","The GIMP Team","",".gbr","","Supported by GIMP",""
"P83","GIMP compressed XJT image","","The GIMP Team","JPEG, tar",".xjt,
.xjtgz (compressed),
.xjtbz2 (compressed)","None. Lossy format, not suitable for editing","Supported by GIMP",""
"P84","GIH","Gimp image hose","The GIMP Team","",".gih","","Supported by GIMP",""
"P85","GIMP patterns","","The GIMP Team","",".pat","","Supported by GIMP",""
"P86","GRA","","","",".gra","","Used by QSV and QLD.",""
"P87","G3 Fax","","","",".g3","","Supported by GIMP",""
"P88","Hasselblad 3FR RAW","","","TIFF",".3fr","","",""
"P89","Hasselblad/Imacon FFF","","","",".fff","","",""
"P90","HDRi","","","TIFF",".tif, .tiff","image/tiff","",""
"P91","HG","Hyper Graphic Press","","",".hg","","Supported by some old Japanese applications.",""
"P92","ICER","","NASA Mars Rovers","","","","",""
"P93","IIQ RAW","Intelligent Image Quality RAW","Phase One","",".iiq","","",""
"P94","IMA",".ima",".ima team","",".ima","","Format for photograph images with HDR encoding.","No"
"P95","IMG (GEM Paint)","","","",".img","","Supported by GEM Paint",""
"P96","IMG (ERDAS IMAGINE)","ERDAS IMAGINE","ERDAS","Hierarchical File Architecture (HFA)",".img","","Image format used primarily with geo-referenced imagery, thematic grid data, and elevation grid data.","Yes"
"P97","im4","","Masahide Hirabayashi","",".im4","","",""
"P98","Inkscape SVG","","The Inkscape Team","SVG",".svg, .svgz","image/svg+xml","Used by Inkscape",""
"P99","ICO","ICO file format","Microsoft","",".ico, .cur","image/vnd.Microsoft.icon, image/x-icon","Used by Microsoft Windows and web browser as favicon",""
"P100","ICS","Image Cytometry Standard","","",".ics, .ids","","",""
"P101","IGES","Initial Graphics Exchange Specification","","",".igs","image/iges","CAD/CAM interoperability","No"
"P102","ILBM","InterLeaved BitMap","Electronic Arts and Commodore Amiga","IFF",".iff, .ilbm, .lbm","image/x-ilbm","Planar graphics format designed for Amiga graphics hardware.","No"
"P103","IPTC/NAA","IPTC/NAA","","TIFF","","","",""
"P104","JBIG","","Joint Bi-level Image Experts Group","",".jbig, .bie, .jbg","","",""
"P105","JBIG2","","Joint Bi-level Image Experts Group","","","","",""
"P106","JNG","JPEG Network Graphics","","",".jng","image/x-jng","","No"
"P107","JPEG","Joint Photographic Experts Group","Joint Photographic Experts Group","",".jpg, .jpeg, .jpe
(containers:
.jif, .jfif, .jfi)","image/jpeg","Photograph images.  Supported by most web browsers.","Expired (see also Forgent#JPEG)"
"P108","JPEG 2000","Joint Photographic Experts Group 2000","Joint Photographic Experts Group","",".jp2, .j2c, .jpc,
.j2k, .jpx","image/jp2","Photograph images, eventual replacement for JPEG.","Yes (no licence costs for part 1)"
"P109","JPEG-LS","","Joint Photographic Experts Group","",".jls","","",""
"P110","JPEG-HDR","","","","","","",""
"P111","JPEG XR / HD Photo","JPEG XR / HD Photo","Microsoft","",".wdp, .hdp, .jxr","image/vnd.ms-photo","TIFF-like container format with HDR encoding for photographic images","Yes (royalty-free)"
"P112","J6I","","RICOH","JPEG",".j6i","","Used by RICOH DC-1/2",""
"P113","KDC","Kodak DC40/DC50 RAW","Kodak","TIFF",".kdc","","",""
"P114","KOA","","","",".koa,
.gg (compressed)","","Supported by Koala Paint",""
"P115","KIFF","Kt Interchange File Format","","",".kif, .kiff","","",""
"P116","KISS CEL","","","",".cel","","Supported by GIMP",""
"P117","Kodak TIFF extensions","","Kodak","TIFF",".tif","","",""
"P118","Kodak YCC","","Kodak","",".pcd","","",""
"P119","KQP","","Minolta","JPEG",".kqp","","",""
"P120","K25","Kodak DC25 RAW","Kodak","TIFF",".k25","","",""
"P121","Leaf Mosaic RAW","","","TIFF",".mos","","",""
"P122","LightStream Picture","","","",".lsp","","",""
"P123","Logluv TIFF","","Greg Ward","TIFF","","","Supported by Libtiff",""
"P124","Mac Paint","","","",".pnt, .mac","","",""
"P125","MDC","Minolta RD175 Format","Minolta","",".mdc","","",""
"P126","MET","OS/2 Metafile Format","","",".met","","Supported by SAS/GRAPH",""
"P127","MNG","Multiple-image Network Graphics","","PNG",".mng","video/x-mng","","No"
"P128","MO:DCA","MO:DCA","IBM","",".mda, .ica, .mmr,
.afp","image","IBM's Content Manager and Image Plus","Yes"
"P129","MSP","Microsoft Paint","Microsoft","",".msp","","",""
"P130","MYD","Myd format","","",".myd","","",""
"P131","MYV","Myv vector format","","",".myv","","",""
"P132","NEF","Nikon RAW","Nikon","TIFF",".nef","","",""
"P133","MEF","Mamiya RAW","Mamiya","TIFF",".mef","","",""
"P134","Neochrome","","Dave Staugas","",".neo","","An application on Atari ST",""
"P135","MAG","MAKIchan Graphic loader","Woody-Rinn","",".mag","","Used by many old Japanese applications.",""
"P136","MAKI","MAKIchan net format","Woody-Rinn","",".mki","","",""
"P137","MIFF","Magick image file format","ImageMagick Studio","",".miff","","Supported by ImageMagick",""
"P138","MSA","Misachan File","Hirohumi Iguchi","",".msa","","Supported by old Japanese applications",""
"P139","MSL","Magick Scripting Language","ImageMagick Studio","",".msl","","Supported by ImageMagick",""
"P140","MVG","Magick Vector Graphics","ImageMagick Studio","",".mvg","","Supported by ImageMagick",""
"P141","MPC","Magick Persistent Cache image file format","ImageMagick Studio","",".mpc","","Supported by ImageMagick",""
"P142","MRW","Minolta RAW","Minolta","",".mrw","","",""
"P143","NSK-TIFF","NSK-TIFF","Nihon Shinbun Kyokai (日本新聞協会)","TIFF","","","",""
"P144","OAZ","OAZ Fax","Oaz Communications","",".oaz","","Used by NetFax Manager",""
"P145","ODG","OpenDocument drawing","","",".odg","","",""
"P146","ORA","OpenRaster","freedesktop.org","OpenDocument/XML",".ora","","DrawPile, GIMP, Krita, MyPaint, Nathive, Pinta","No"
"P147","ORF","Olympus RAW","Olympus","TIFF",".orf","","",""
"P148","PAM","portable arbitrary map file format","","",".pam","image/x-portable-arbitrarymap","","No"
"P149","Panasonic RAW","","Panasonic","TIFF",".raw, .rw2","","",""
"P150","PCIF","Polyomino Compressed Image Format","","",".pcf","","",""
"P151","PhaseOne P25/P30/P45 RAW","","Phase One","",".tif, .tiff","","",""
"P152","PictureGear Pocket Image","","","",".prc","","",""
"P153","PBM","Portable Bitmap File Format","","",".pbm","image/x-portable-bitmap","","No"
"P154","PCD","Kodak ImagePac Photo CD","Kodak","",".pcd","image/jpcd","",""
"P155","PCF","Pixel Coordination Format","","",".pcf","image/pcf","",""
"P156","PCX","ZSoft PC Paintbrush File","ZSoft Corporation","",".pcx, .pcc, .dcx","image/x-pcx","Dated rle packed indexed image format, used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode.","?"
"P157","PDF","Portable Document Format","Adobe Systems","",".pdf, .epdf","application/pdf","",""
"P158","PDN","Paint.NET Image","dotPDN LLC","",".pdn","","Preferred and supported by Paint.NET",""
"P159","PEF","PENTAX RAW","PENTAX","TIFF",".pef","","",""
"P160","PGF","Progressive Graphics File","xeraina GmbH","",".pgf","","Photograph images, eventual replacement for JPEG.","No"
"P161","PGM","Portable Graymap File Format","","",".pgm","image/x-portable-graymap","","No"
"P162","PGML","Precision Graphics Markup Language","Adobe Systems, IBM, Netscape, Sun Microsystems","","","","","No"
"P163","Photochrome","","","",".pcs","","",""
"P164","PNM","Portable Anymap File Format","","",".pnm","image/x-portable-anymap","","No"
"P165","PTX","Pentax RAW Bitmap Graphic","Pentax","",".ptx","","",""
"P166","Pi","","Yanagisawa","",".pi","","Used by some old Japanese applications.",""
"P167","PIC","Yanagisawa PIC","Yanagisawa","",".pic","","Used by many old Japanese applications.",""
"P168","PIC","DoGA PIC","Project Team DoGA","",".pic","","Used by DoGA CGA System.",""
"P169","PICT","Macintosh PICT Format","Apple Inc.","",".pict, .pic, .pct,
.pct1, .pct2","image/pict","Metafile for Mac OS, not meant for print publishing.","Likely expired"
"P170","PICtor","","John Bridges, Doug Wolfgram","",".pic","","Supported by PCPaint",""
"P171","PIC2","","Yanagisawa","",".p2","","Supported by some old Japanese applications.",""
"P172","PLD","PhotoLine Document","Computerinsel GmbH","",".pld","application/pld","Native format of the PhotoLine image editing program.","?"
"P173","PMP","","Sony","JPEG",".pmp","","Used by Sony Cyber-Shot",""
"P174","PNG","Portable Network Graphics","World Wide Web Consortium","",".png","image/png","W3C endorsed replacement for GIF.  Supported by most web browsers.","No"
"P175","PostScript","","","","ps, ps2, ps3","","",""
"P176","PPM","Portable Pixmap File Format","","",".ppm","image/x-portable-pixmap","Very easy to understand. Programs to analyze and write to this format are easily written.","No"
"P177","PSD","Photoshop Document","Adobe Systems","",".psd, .psb, .pdb,
.pdd","image/vnd.adobe.photoshop","Used mainly for storing image manipulation & editing data.","Yes"
"P178","PSP","Paint Shop Pro Document","Corel Corporation","",".psp, .tub,
.pspimage","image/x-psp","It can only be opened in programs that support the format, such as Paint Shop Pro, The GIMP, etc.","?"
"P179","PSX TIM","","","",".tim","","",""
"P180","PSX TIM2","Sony PlayStation Tim2","Sony","",".tm2, .str","","Used by PlayStation 2",""
"P181","PXA","","","",".pxa","","Used by Pixia",""
"P182","QuickTime Image","","Apple Inc.","",".qtif, .qti, .qif","","",""
"P183","Q0","","","",".q0","","",""
"P184","Q4","XLD4","MAJYO","",".q4","","",""
"P185","RAD","","Gregory Ward Larson","",".rad","","Radiance",""
"P186","RAF","Fujifilm RAW","Fujifilm","",".raf","","",""
"P187","RGB","","","",".rgb","","",""
"P188","RGBA","","","",".rgba","","",""
"P189","RGBE","","Gregory Ward Larson","",".hdr","image/vnd.radiance","Radiance, most HDR imaging software",""
"P190","R3D","RED REDCODE RAW","Red","",".r3d","","",""
"P191","SAI","","SYSTEMAX","",".sai","","Supported by PaintTool SAI",""
"P192","SCT","Scitex Continuous Tone Picture","","",".sct","","",""
"P193","SDA","","Sun Microsystems","",".sda","","Supported by StarOffice Draw 3-5",""
"P194","SDD","","Sun Microsystems","",".sdd","","Supported by StarOffice Draw 3-5",""
"P195","SFW","Seattle File Works image","Seattle File Works","JPEG (JFIF)",".sfw, .pwp","","JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows",""
"P196","SGB","","Sun Microsystems","",".sgb","","Supported by StarOffice Graphics 2",""
"P197","SGI","Silicon Graphics Image","","",".sgi, .rgb, .rgba,
.bw, .int, .inta,
.icon","","",""
"P198","Shockwave Director","","Adobe Systems","",".dir, .dcr, .dxr, .fgd","application/x-director","Used by Adobe Shockwave.",""
"P199","SHAPE","Dia Stencil","","SVG",".shape","","Used by Dia.",""
"P200","SK","","","",".sk","","Supported by Skencil",""
"P201","SketchUp Format","","","",".skp, .skb","","Supported by SketchUp",""
"P202","SML","Kivio stencil","","",".sml","","Supported by Kivio",""
"P203","SRF","Sony RAW File","Sony","TIFF",".srf, .sr2","","",""
"P204","SUN","Sun rasterfile","Sun Microsystems","",".sun, .ras, .rs, .im1,
.im8, .im24, .im32","","Supported by GIMP",""
"P205","STX","SBIG CCD camera ST-x","","",".stx, .st4, .st5,
.st6, .st7, .st8,
.st9","","",""
"P206","SView5 Graphics","","Andreas Kleinert","",".svg/.sgx","","Used by SView5-Library/SDK",""
"P207","SVG","Scalable Vector Graphics","World Wide Web Consortium","XML",".svg,
.svgz (compressed)","image/svg+xml","Scriptable vector image format; supported by major web browsers, occasionally via plug-in.","No"
"P208","SWF","Shockwave Flash","Adobe Systems","",".swf","application/x-shockwave-flash","Supported by many web browsers via plug-in.",""
"P209","SXD","OpenOffice.org 1.0 drawing format","","",".sxd","","",""
"P210","TGA","Truevision Targa","Truevision Inc.","",".tga, .tpic","image/tga","Used by many 3D rendering applications and 3d games.","Yes?"
"P211","TIFF","Tagged Image File Format","Adobe Systems","",".tiff, .tif","image/tiff","Document scanning and imaging format, also functions as a container.","No"
"P212","TIFF/EP","Tag Image File Format / Electronic Photography","International Organization for Standardization","TIFF",".tiff, .tif","","",""
"P213","TIFF-FX","Tag Image File Format Fax eXtended","","TIFF",".tiff, .tif","image/tiff-fx","",""
"P214","Tiny Stuff","","David Mumper","",".tny, .tn1, .tn2, .tn3,
.tn4, .tn5, tn6","","An application on Atari ST",""
"P215","TLG5","","","",".tlg","","Used by KiriKiri",""
"P216","TLG6","","","",".tlg","","Used by KiriKiri",""
"P217","UFO","Ulead File for Objects","","",".ufo","","",""
"P218","VML","Vector Markup Language","Microsoft","XML",".htm, .html","application/vnd. openxmlformats-officedocument. vmlDrawing","Internet Explorer, Microsoft Office","No"
"P219","WBMP","Wireless Application Protocol Bitmap Format","Open Mobile Alliance (formerly WAP Forum))","",".wbmp, .wbm, .wbp","image/vnd.wap.wbmp","Used in WAP-pages","No"
"P220","WebP","WebP","Google","",".webp","image/webp","Provides an alternative to JPEG, PNG and GIF with superior compression","Yes (royalty-free)"
"P221","WinFax","","Symantec","",".wfx, fxs, fxo","","",""
"P222","WMF","Windows Metafile Format","Microsoft","",".wmf, .wmz","","",""
"P223","WordPerfect Graphics File","","","",".wpg","","",""
"P224","XAML","Extensible Application Markup Language","Microsoft","XML",".xaml","application/xaml+xml","Used by Windows Presentation Foundation and Microsoft Silverlight.","?"
"P225","XAR","Xar","Xara","Xar (graphics)",".xar","application/vnd.xara","Used by Xara Photo & Graphic Designer","No"
"P226","XBM","X BitMap","","",".xbm, .bm,
.icon, .bitmap","image/x-xbitmap","Used by many legacy Unix applications.",""
"P227","XCF","XCF, name derived from eXperimental Computing Facility","The GIMP Team","",".xcf,
.xcfbz2 (compressed),
.xcfgz (compressed)","application/x-gimp-image","Used by GIMP",""
"P228","XPM","X-Pixmap","","",".xpm, .pm","image/x-xpm","Used by many legacy Unix applications.",""
"P229","X3F","SIGMA RAW","SIGMA","",".x3f","","",""
"P230","XWD","","","",".xwd, .x11","","Used by X Window System",""
"P231","XYZ","RPG Maker image file","ASCII","",".xyz","","RPG Maker","No"
"P232","YCbCr","","","",".ycbcr","","",""
"P233","YCbCrA","","","",".ycbcra","","",""
"P234","YUV","","","",".yuv","","",""
"P235","ZDT","","","",".zdt","","Used by TECH Win",""
"P236","","","","","","","",""
