"Products","Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone / scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"P14","Gnus","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","XPM","Yes","?","?","?","?","?","?","?"
"P15","GroupWise","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"P16","i.Scribe / InScribe","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ICO, TIFF","Yes","No","No","No","No","No","No","No"
"P17","IBM Notes","Yes","Yes","?","?","Yes","?","?","Yes","Yes","?","Yes","Yes","Yes","No","CGM, Lotus PIC, PCX, TIFF","?","Yes","Yes","Yes","Yes","?","?","?"
"P18","KMail","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P19","Libremail","No","No","No","No","outside","No","?","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Enclosure emails"
"P20","Mail (OS X)","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","any QuickTime supported format","No","?","Yes","?","?","?","?","?"
"P21","Mailbird","Yes","Yes","?","Yes","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","No","?"
"P22","Microsoft Entourage","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","Yes","Yes","?","Yes","?","?","?","Yes","?","?","?","?","?"
"P23","Microsoft Office Outlook","Yes","Yes","No","Yes","Yes","?","?","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","with a plugin","Yes","Yes","2010","2010","PowerPoint"
"P24","Mozilla Mail & Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P25","Mozilla Thunderbird","Yes","Yes","?","?","with a plugin, not via IMAP","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ICO","Yes","Yes","Yes","No","No","No","No","No"
"P26","Mulberry","?","Yes","?","?","?","?","?","Yes","Yes","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
"P27","Mutt","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","No","No","No","No","No","postpone","?","?","?","?","?","?","?"
"P28","Netscape Messenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P29","Netscape Messenger 9","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P30","nmh / MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P31","Opera Mail","Yes","Yes","No","No","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","APNG, ICO, SVG, WBMP, XBM, WebP","No","No","No","No","No","No","No","No"
"P32","Outlook Express","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","ICO, art","?","?","?","?","?","?","?","?"
"P33","Pegasus Mail","Yes","Yes","Yes","Yes","in index","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","TIFF","N/A","Yes","No","No","No","No","No","RTF, HTML"
"P34","Pine","Yes","Yes","?","?","No","with a patch","?","Yes","Yes","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
"P35","Pocomail","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P36","SeaMonkey Mail & Newsgroups","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P37","SquirrelMail","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","?"
"P38","Sylpheed","Yes","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","Yes","No","No","No","No","No","?"
"P39","The Bat!","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ICO, emf","Yes","Yes","No","No","No","No","No","No"
"P40","Trojitá","No","Yes","?","?","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"P41","Turnpike","Yes","?","?","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","No","?","?","?","?","?","?","?","?","?"
"P42","Wanderlust","No","Yes","No","No","No","No","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes"
"P43","Windows Live Mail","No","Yes","No","No","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P44","Windows Mail","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P45","YAM","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"P46","Zimbra","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"P47","Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone/?scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"P48","Client","with colors","with flag","antidelete","add note","edit headers (e.g., Subject)","forced recode","Bi-directional text support","Spell checking","Signatures","Bottom-posts replies","jpeg","gif","bmp","png","others","Postpone/?scheduled message sending","txt","pdf","doc","xls","odt","ods","others"
