"Products","DDC  ","LCC  ","Description  "
"P187","546","QD146-197","Inorganic chemistry"
"P188","547","QD241-441","Organic chemistry"
"P189","548","QD0001-0999","Crystallography"
"P190","549","QE351-399.2","Mineralogy"
"P191","550","QE","Earth sciences"
"P192","551","QE","Geology"
"P193","551","GB651-2998","Hydrology"
"P194","551","QC851-999","Meteorology"
"P195","552","QE420-499","Petrology"
"P196","553","QE?","Economic geology"
"P197","560","QE701-760","Paleontology"
"P198","560","QE7601-899","Paleozoology"
"P199","570","QH301-705.5","Life sciences - Biology"
"P200","572","QD415-436","Biochemistry"
"P201","572","GN","Anthropology"
"P202","573","GN49-298","Physical anthropology"
"P203","574","QH301-705.5","Biology"
"P204","575","QH359-425","Evolution"
"P205","575","QH426-470","Genetics"
"P206","576","QH573-671","Microbiology"
"P207","577","QH540-549.5","Ecology"
"P208","578","QH201-278.5","Microscopy in biology"
"P209","579","QH1-199.5","Collection and preservation"
"P210","580","QK","Botanical sciences"
"P211","581","QK","Botany"
"P212","582","QK474.8-495","Spermatophyta (Seed-bearing plants)"
"P213","585","K494-494.5","Gymnospermae (Pinophyta)"
"P214","586","QK504-638","Cryptogamia (Seedless plants)"
"P215","590","QL","Animal"
"P216","591","QL1-355","Zoology"
"P217","592","QL360-599.82","Invertebrate"
"P218","593","QL360-599.82","Protozoa, Echinodermata, related phyla"
"P219","594","QL360-599.82","Mollusca & Molluscoidea"
"P220","595","QL360-599.82","Other invertebrates"
"P221","596","QL605-739.8","Vertebrata (Craniata, Vertebrates)"
"P222","597","QL614-639.8","Fish"
"P223","597","QL640-669.3","Reptile and amphibian"
"P224","598","QL671-699","Aves (Birds)"
"P225","599","QL700-739.8","Mammalia (Mammals)"
"P226","600","T","Technology (Applied sciences)"
"P227","607","T61-173","Education"
"P228","607","T175-178","Research"
"P229","608","T201-342","Invention & patents"
"P230","608","Q","Invention & patent"
"P231","610","R","Medicine"
"P232","611","QM","Human anatomy"
"P233","611","QH573-671","Cytology"
"P234","611","QM550-577.8","Histology"
"P235","612","QP","Human physiology"
"P236","615","RM","Pharmacology & Therapeutics"
"P237","617","RD","Surgery & Related Topics"
"P238","618","RG","Gynecology"
"P239","618","R","Other medical specialties"
"P240","619","R735-854","Experimental medicine"
"P241","620","TA","Engineering & allied operations"
"P242","621","TJ","Mechanical engineering"
"P243","621","QC","Applied physics"
"P244","622","TN","Mining & related operations"
"P245","623","UG1-620","Military engineering"
"P246","623","VM","Nautical engineering"
"P247","624","TA","Civil engineering"
"P248","","TG","Bridge Engineering"
"P249","625","TF","Engineering of railways"
"P250","625","TE","Engineering of highways"
"P251","627","TC1-978","Hydraulic engineering"
"P252","628","TD","Sanitary & engineering"
"P253","628","TD159-168","Municipal engineering"
"P254","629","T","Other branches of engineering"
"P255","","TK","Electrical Engineering, electronics, nuclear engineering"
"P256","","TL","Motor vehicles, Aeronautics, Astronautix"
"P257","","TP","Chemical Technology"
"P258","630","S","Agriculture"
"P259","631","S1-972","Techniques, equipment, materials"
"P260","632","SB599-990.5","Plant injuries, diseases, pests"
"P261","633","SB317.5-319.864","Horticulture"
"P262","634","SB354-402","Fruit"
"P263","634","SD","Forestry"
"P264","634","SB169-172.5","Orchard"
"P265","636","SF","Animal husbandry"
"P266","637","SF250.5-275","Processing dairy & related products"
"P267","638","SF518-561","Insect culture"
"P268","639","SK","Hunting, fishing"
"P269","639","S604.5-604.64","Conservation"
"P270","640","TX","Home economics"
"P271","650","HD28-70","Management & auxiliary services"
"P272","653","Z53-102","Shorthand"
"P273","657","HF5601-5689","Accounting"
"P274","658","HD28-70","General management"
"P275","659","HF5801-6182","Advertising"
"P276","660","TP155-156","Chemical engineering"
"P277","670","HD9720-9975","Manufacturing"
"P278","680","TT","Handicrafts"
"P279","690","TH","Buildings"
"P280","700","N","Arts"
"P281","708","N400-3990","Museums"
"P282","710","SB469-476","Landscape art"
"P283","720","NA","Architecture"
"P284","730","NB","Plastic arts, Sculpture"
"P285","736","NB0001-1952","Carving & carvings"
"P286","738","NB0001-1952","Ceramic arts"
"P287","739","NB0001-1952","Metalwork"
"P288","740","NC","Drawing"
"P289","740","NK","Decorative arts"
"P290","746","NK8800-9505.5","Textile arts"
"P291","748","NK5100-5440","Glass"
"P292","749","NK2200-2750","Furniture & accessories"
"P293","750","ND","Painting"
"P294","760","NE","Graphic arts, Printmaking & prints"
"P295","761","NE1330-1352","Relief processes (Block printing)"
"P296","763","NE2250-2570","Lithography"
"P297","764","NE2236-2240.6","Chromolithography & serigraphy"
"P298","765","NE1400-1879","Metal engraving"
"P299","767","NE1940-2232.5","Etching & drypoint"
"P300","770","TR","Photography & photographs"
"P301","780","M","Music"
"P302","781","MT","General principles & musical forms"
"P303","782","M1495-5000","Vocal music"
"P304","783","M1528-1529.5","Music for solo voice"
"P305","784","M1000-1075","Orchestras, ensembles"
"P306","785","M1000-1075","Ensembles with one instrument per part"
"P307","786","MT180-255","Keyboard instrument"
"P308","787","MT259-338","Strings"
"P309","788","MT339-533","Wind"
"P310","790","PN1560-1590","Performing arts"
"P311","790","GV","Recreation"
"P312","792","PN2000-3307","Theater and other stage presentations"
"P313","793","GV1221-1469.63","Indoor games & amusements"
"P314","795","GV1301-1311","Games of chance"
"P315","796","GV557-1198.995","Sport"
"P316","797","GV750-770.27","Air sports"
"P317","797","GV770.3-840","Aquatic sports"
"P318","799","SK","Fishing, Hunting, Shooting"
"P319","800","P","Literature & rhetoric"
"P320","810","PS","American literature"
"P321","820","PR","English literature"
"P322","830","PT1-4897","German literature"
"P323","840","PQ0001-3999","French literature"
"P324","850","PQ4001-5999","Italian literature"
"P325","860","PQ6001-8929","Spanish literature"
"P326","869","PQ9000-9999","Portuguese literature"
"P327","870","PA6001-8595","Latin literature"
"P328","880","PA3050-5660","Greek literature"
"P329","890","PN","World literature"
"P330","900","G","Geography"
"P331","900","D","History"
"P332","910","G","Geography"
"P333","911","G141","Historical geography"
"P334","912","GA","Graphic representations of earth"
"P335","914","G1791-2196","Geography of Europe"
"P336","915","G2200-2444","Geography of Asia"
"P337","916","G2445-2739","Geography of Africa"
"P338","917","G1105-1692","Geography of North America"
"P339","918","G1700-1779","Geography of South America"
"P340","919","G2740-2799","Geography of Oceania"
"P341","920","CT","Biography"
"P342","920","CS","Genealogy"
"P343","920","CR4480-4485","Insignia"
"P344","930","D51-90","History of ancient world"
"P345","938","DE","History of the Greco-Roman World"
"P346","940","DAW1031-1051","History of Europe"
"P347","942","DA","History of Britain"
"P348","943","DD","History of Germany"
"P349","943.6","DB","History of Austria and Liechtenstein"
"P350","943.9","DB","History of Hungary"
"P351","944","DC","History of France"
"P352","945","DG","History of Italy"
"P353","946","DP","History of the Iberian Peninsula"
"P354","947","DJK","History of Eastern Europe"
"P355","947","DK","History of Russia, Soviet Union, and former Soviet republics."
"P356","948","DL","History of Northern Europe; Scandinavia"
"P357","949.2","DH","History of the Netherlands"
"P358","949.3","DH","History of Belgium"
"P359","949.4","DQ","History of Switzerland"
"P360","949.5","DF","History of Greece"
"P361","949.6","DR","History of the Balkan Peninsula"
"P362","950","DS","General history of Asia and Far East"
"P363","951","DS701-799.9","History of China"
"P364","952","DS801-897","History of Japan"
"P365","953","DS201-248","History of Arabian Peninsula (History of Saudi Arabia, etc.)"
"P366","954","DS401-486.8","History of India"
"P367","955","DS251-326","History of Iran (Persia)"
"P368","960","DT","History of Africa"
"P369","961","DT211-239","History of Libya"
"P370","961","DT241-269","History of Tunisia"
"P371","962","DT154.1-159.9","History of Sudan"
"P372","962","DT43-154","History of Egypt"
"P373","963","DT371-390","History of Ethiopia (Abyssinia)"
"P374","963","DT391-398","History of Eritrea"
"P375","965","DT271-299","History of Algeria"
"P376","966","DT470-671","History of West Africa & offshore islands"
"P377","967","DT?","History of Central Africa & offshore islands"
"P378","968","DT1701-2405","History of South Africa"
"P379","969","DS349.8-349.9","History of South Indian Ocean islands"
"P380","970","F","History of North America"
"P381","971","F1001-1145.2","History of Canada"
"P382","972","F1421-1440","History of Central America"
"P383","972","F1201-1392","History of Mexico"
"P384","973","E","History of United States"
"P385","980","F2201-3799","History of South America"
"P386","981","F2501-2659","History of Brazil"
"P387","982","F2801-3021","History of Argentina"
"P388","983","F3051-3285","History of Chile"
"P389","984","F3301-3359","History of Bolivia"
"P390","985","F3401-3619","History of Peru"
"P391","987","F2301-2349","History of Venezuela"
"P392","988","F2351-2471","History of Guiana"
"P393","990","DU","History of Oceania"
"P394","993","DU400-430","History of New Zealand"
"P395","994","DU80-398","History of Australia"
"P396","995","DU490","History of Melanesia"
"P397","995","DU739-747","History of New Guinea"
"P398","803","AG","Dictionaries and other general reference works"
"P399","069","AM","Museums. Collectors and collecting"
"P400","050","AP","Periodicals"
"P401","060-068","AS","Academies and learned societies"
"P402","030","AY","Yearbooks. Almanacs. Directories"
"P403","001","AZ","History of scholarship and learning. The humanities"
"P404","110-140","BD","Speculative philosophy"
"P405","111.85","BH","Aesthetics"
"P406","200","BL","Mythology"
"P407","230","BT","Doctrinal Theology"
"P408","240-260","BV","Practical Theology"
"P409","280","BX","Christian Denominations"
"P410","","C","Auxiliary Sciences of History (General)"
"P411","909","CB","History of Civilization"
"P412","930.1","CC","Archaeology"
"P413","929.1 - 929.3","CD","Diplomatics. Archives. Seals"
"P414","529","CE","Technical Chronology. Calendar"
"P415","737","CJ","Numismatics"
"P416","411.7","CN","Inscriptions. Epigraphy"
"P417","929.6","CR","Heraldry"
"P418","909.0491497","DX","History of the Gypsies"
"P419","551.4","GB","Physical geography"
"P420","551.46","GC","Oceanography"
"P421","333.7","GE","Environmental Sciences"
"P422","304","GF","Human ecology. Anthropogeography"
"P423","310","HA","Social science statistics"
"P424","330.9","HC","Economic history and conditions"
"P425","331-338","HD","Industries. Land use. Labor"
"P426","649.1-641.7","HQ","The family. Marriage. Women"
"P427","","HT","Communities. Classes. Races"
"P428","364","HV","Social pathology. Social and public welfare. Criminology"
"P429","335","HX","Socialism. Communism. Anarchism"
"P430","","J","General legislative and executive papers"
"P431","320","JA","Political science (General)"
"P432","320.5","JC","Political theory"
"P433","","JJ","Political institutions and public administration (North America)"
"P434","320.973","JK","Political institutions and public administration (United States)"
"P435","320.971","JL","Political institutions and public administration (Canada, Latin America, etc.)"
"P436","320.94","JN","Political institutions and public administration (Europe)"
"P437","320.95-320.969","JQ","Political institutions and public administration (Asia, Africa, Australia, Pacific Area, etc.)"
"P438","","JV","Colonies and colonization. Emigration and immigration. International migration"
"P439","","KB","Religious law in general. Comparative religious law. Jurisprudence"
"P440","","KD","Law of the United Kingdom, Ireland, America. North America"
"P441","340.971","KE","Law of Canada"
"P442","340.973","KF","Law of United States"
"P443","","KG","Law of Latin America - Mexico and Central America -West Indies. Caribbean area"
"P444","","KH","Law of South America"
"P445","340.94","KJ-KK","Law of Europe"
"P446","340.95-340.969","KL-KW","Law of Asia and Eurasia, Africa, Pacific Area, and Antarctica"
"P447","370.9","LA","History of education"
"P448","370.1","LB","Theory and practice of education"
"P449","","LC","Special aspects of education"
"P450","378.73-378.79","LD","Individual educational institutions - United States"
"P451","378.8","LE","Individual educational institutions - America (except United States)"
"P452","378.4","LF","Individual educational institutions - Europe"
"P453","378.5-378.6","LG","Individual educational institutions - Asia, Africa, Indian Ocean islands, Australia, New Zealand, Pacific islands"
"P454","378","LH","College and school magazines and papers"
"P455","","LJ","Student fraternities and societies, United States"
"P456","","LT","Textbooks"
