"Products","","Trident","Tasman","Gecko","WebKit","KHTML","Presto",""
"P66","DOM2","","?","?","?","","",""
"P79","DOM2","","No","?","No","?","?","No"
"P31","DOM2","","?","No","?","?","2.0",""
"P67","DOM2","","?","?","?","","",""
"P46","DOM2","","?","?","1.0","?","","2.0"
"P80","DOM2","","No","?","No","?","?","No"
"P1","DOM2","","Yes","1.3","1.0","?","","2.0"
"P2","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList","Interface StyleSheetList"
"P3","DOM2","","6.0","?","1.0","?","?","2.0"
"P5","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList","Interface CSSRuleList"
"P6","Interface CSSRule","Interface CSSRule","Interface CSSRule","Interface CSSRule","Interface CSSRule","Interface CSSRule","Interface CSSRule","Interface CSSRule"
"P7","DOM2","","Yes","?","1.0","?","","2.0"
"P8","DOM2","","1.3","?","1.0","","","2.0"
"P9","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule","Interface CSSStyleRule"
"P10","DOM2","","6.0","Yes","1.0","1.3","?","2.0"
"P11","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule","Interface CSSMediaRule"
"P12","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule","Interface CSSFontFaceRule"
"P13","DOM2","","No","?","1.9.1","?","?","2.0"
"P14","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule","Interface CSSPageRule"
"P15","DOM2","","?","?","?","","","2.0"
"P16","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule","Interface CSSImportRule"
"P17","DOM2","","No","Yes","1.0","1.3","?","2.0"
"P18","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule","Interface CSSCharsetRule"
"P19","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule","Interface CSSUnknownRule"
"P20","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration","Interface CSSStyleDeclaration"
"P21","DOM2","","No","?","1.0","?","?","2.0"
"P29","DOM2","","No","?","No","?","?","2.0"
"P32","DOM2","","No","1.0","1.3","?","1.0",""
"P33","DOM2","","Incorrect","1.0","?","?","2.0",""
"P34","DOM2","","Yes","1.3","1.0","?","1.0",""
"P36","DOM2","","?","?","1.0","?","","2.0"
"P47","Interface CSSValue","Interface CSSValue","Interface CSSValue","Interface CSSValue","Interface CSSValue","Interface CSSValue","Interface CSSValue","Interface CSSValue"
"P48","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue","Interface CSSPrimitiveValue"
"P49","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList","Interface CSSValueList"
"P50","Interface RGBColor","Interface RGBColor","Interface RGBColor","Interface RGBColor","Interface RGBColor","Interface RGBColor","Interface RGBColor","Interface RGBColor"
"P51","Interface Rect","Interface Rect","Interface Rect","Interface Rect","Interface Rect","Interface Rect","Interface Rect","Interface Rect"
"P52","Interface Counter","Interface Counter","Interface Counter","Interface Counter","Interface Counter","Interface Counter","Interface Counter","Interface Counter"
"P53","DOM2","","?","?","?","","",""
"P68","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS","Interface ViewCSS"
"P69","DOM2","","No","No","1.0","No","?","1.0"
"P70","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS","Interface DocumentCSS"
"P71","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS","Interface DOMImplementationCSS"
"P72","DOM2","","No","?","No","?","?","No"
"P81","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle","Interface ElementCSSInlineStyle"
"P82","DOM2","","6.0","Yes","1.0","1.3","Yes","1.0"
